Economy,Year,Score-Starting a business
Ghana,DB2014,83.2
Ghana,DB2013,84.9
Ghana,DB2012,84.9
Ghana,DB2011,84.4
Ghana,DB2010,84.6
Ghana,DB2009,82.2
Ghana,DB2008,77.5
Greece,DB2018,92.4
Greece,DB2017,90.7
Greece,DB2016,90.7
Greece,DB2015,90.7
Greece,DB2014,89.2
Greece,DB2013,78.6
Greece,DB2012,78.7
Greece,DB2011,70.8
Greece,DB2010,70.9
Greece,DB2009,70.7
Greece,DB2008,60.9
Grenada,DB2018,87.1
Grenada,DB2017,87
Grenada,DB2016,86.8
Grenada,DB2015,86.7
Grenada,DB2014,86.5
Grenada,DB2013,86.9
Grenada,DB2012,86.1
Grenada,DB2011,86.1
Grenada,DB2010,84.9
Grenada,DB2009,84.2
Grenada,DB2008,84
Guatemala,DB2018,77.8
Guatemala,DB2017,77.6
Guatemala,DB2016,77.4
Guatemala,DB2015,77.3
Guatemala,DB2014,74.7
Guatemala,DB2013,64.6
Guatemala,DB2012,64
Guatemala,DB2011,64.3
Guatemala,DB2010,64.5
Guatemala,DB2009,63.7
Guatemala,DB2008,64.2
Guinea,DB2018,79.2
Guinea,DB2017,77.6
Guinea,DB2016,77.4
Guinea,DB2015,52.8
Guinea,DB2014,55.5
Guinea,DB2013,48.3
Guinea,DB2012,34.2
Guinea,DB2011,30.4
Guinea,DB2010,31.5
Guinea,DB2009,32
Guinea,DB2008,31.6
Guinea-Bissau,DB2018,74
Guinea-Bissau,DB2017,73.3
Guinea-Bissau,DB2016,50.6
Guinea-Bissau,DB2015,49.1
Guinea-Bissau,DB2014,52.6
Guinea-Bissau,DB2013,55
Guinea-Bissau,DB2012,49.3
Guinea-Bissau,DB2011,4.3
Guinea-Bissau,DB2010,4.3
Guinea-Bissau,DB2009,2.2
Guinea-Bissau,DB2008,2.2
Guyana,DB2018,85.6
Guyana,DB2017,85.4
Guyana,DB2016,85.4
Guyana,DB2015,85.3
Guyana,DB2014,85.2
Guyana,DB2013,85
Guyana,DB2012,83.4
Guyana,DB2011,81.9
Guyana,DB2010,80.9
Guyana,DB2009,72.2
Guyana,DB2008,70.1
Haiti,DB2018,33.7
Haiti,DB2017,33.6
Haiti,DB2016,33.5
Haiti,DB2015,33.5
Haiti,DB2014,33.4
Haiti,DB2013,32.5
Haiti,DB2012,32.4
Haiti,DB2011,32.5
Haiti,DB2010,31.1
Haiti,DB2009,30.7
Haiti,DB2008,30.3
Honduras,DB2018,69.9
Honduras,DB2017,69.9
Honduras,DB2016,70.1
Honduras,DB2015,65.5
Honduras,DB2014,65.4
Honduras,DB2013,65.3
Honduras,DB2012,65.1
Honduras,DB2011,65
Honduras,DB2010,73.9
Honduras,DB2009,71.6
